vc_support_blockchain_specialist,vc_support_general,Postal address known,total_number_of_tokens,token_is_new_blockchain,Total amount raised (USDm),Financial advisor disclosed,KYC/AML procedure,name_other,Is currency or general purpose blockchain,advisor_quality,is_ethereum,Is cryptographic token,ico_start_date,industry,address,Product can be tried out,Legal entity is corporation,ico_end_date_actual,cap_unit,ico_successful,Use of proceeds mentioned,Celebrity endorsement,Years since foundation,US retail investors excluded,Whitepaper page count,US_qualified_only,Legal advisor disclosed,token_standard,Fundraiser has minimum ('soft cap'),cap_includes_presale,ico_end_date_planned,Is a utility token,Decentralised platform,Development road map available,has_specialist_vc,Unsold tokens 'burnt' or proportional allocation,hard_cap_unit,Team tokens locked up,"Length of crowdsale (calendar days, actual)",Funding milestones,Unknown or low quality advisors,portfolio_converted_into_fiat,Experienced team,Fundraiser has maximum ('hard cap'),soft_cap,token_is_cryptocurrency,Crowdsale max. discount (%),Issuer has customers for product,industry.1,"Length of crowdsale (calendar days, planned)",Smart contract code available,price_crowdsale,Team business background missing,legal_structure,soft_cap_unit,Team member with business background,Has VC backing,switzerland,Investors have governance rights,issued_on_other_platf,High quality advisory team,Use of proceeds disclosed in detail,Legal form and jurisdiction known,additional_token_emissions,Project code available,Independent custodian for ICO funds,Has a presale,Qualified investors only,Team experience missing,Business model available,Token supply is fixed,Legal entity is foundation,token_type,presale_transparent,Legal entity is LLC,Is a security,has_generalist_vc,Simple agreement for future tokens (SAFT),Product or prototype developed,Crowdsale is auction,air_drop_after_ICO ,BTC_ret_ico_period,Registered in offshore financial center,Unsold tokens kept by issuer,Investors from other (non-US) jurisdictions excluded,registration_country,Token share producers/miners (ex ante),Token share team (ex ante),ethereum_contract_address
Polychain Capital; Pantera Capital; Blockchain Capital; Kenetic Capital,No,0,1000000000.0,0,25.54181671142578,0,1,0x,0,unknown,1,1,2017-08-15,Trading & Exchanges,unknown,1,1,2017-08-16,USD,1.0,0,0,1,0,16.0,0,0,ERC-20,0,1,2017-08-19,1,1,0,1,0,USD,1,2,0,1,0,0,1,0.0,0,0.0,0,Trading & Exchanges,5.0,1.0,0.051083631813526154,0,joint-stock corporation,USD,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,Utility-token,1,0,0,0,0,1,0,0,0.04550616070628166,1,1,0,Cayman Islands,0.0,0.5,0xe41d2489571d322189246dafa5ebde1f4699f498
No,No,1,1000000000.0,0,10.416799545288086,0,1,adbank,0,high,1,1,2017-12-14,Commerce & Advertising,"Collingwood, Ontario, CANADA, L9Y 1A1",0,0,2018-01-06,ETH,1.0,1,0,1,1,56.0,0,0,ERC-20,0,1,2018-01-21,1,1,1,0,0,ETH,1,24,0,0,0,1,1,0.0,0,16.66666603088379,0,Commerce & Advertising,39.0,1.0,0.0204250980168581,0,unknown,ETH,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,Utility-token,1,0,0,0,0,1,0,0,0.05651088431477547,0,1,1,Canada,0.0,0.49,0x2baac9330cf9ac479d819195794d79ad0c7616e3
No,No,1,100000000.0,0,14.214347839355469,0,0,AdEx,0,neutral,1,1,2017-06-30,Commerce & Advertising,"AdEx Network OÜ, Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 5, 10117 ",0,1,2017-06-30,ETH,1.0,1,0,1,0,33.0,0,1,ERC-20,1,0,2017-07-30,1,1,1,0,0,ETH,1,1,0,0,0,0,1,3299948.75,0,23.076923370361328,0,Commerce & Advertising,31.0,1.0,0.2520683705806732,0,joint-stock corporation,ETH,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,Utility-token,1,0,0,0,0,0,0,0,0.0,0,1,0,Estonia,0.0,0.409884652934,0x4470bb87d77b963a013db939be332f927f2b992e
No,No,1,392000000.0,0,15.0,1,1,Adhive (ADH),0,high,1,1,2018-02-28,Commerce & Advertising,"AdHive Platform OÜ, Harju maakond, Tallinn, Lasnamäe linnaosa, Peterburi tee 47, 11415",1,1,2018-02-28,USD,1.0,0,0,1,1,70.0,0,0,ERC-20,1,0,2018-03-14,1,1,1,0,1,USD,1,1,0,0,0,1,1,5040000.0,0,23.664121627807617,0,Commerce & Advertising,15.0,0.0,0.1260228008031845,0,joint-stock corporation,USD,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,Utility-token,1,0,0,0,0,1,0,0,0.0,0,0,1,Estonia,0.0,0.7000000000000001,0xe69a353b3152dd7b706ff7dd40fe1d18b7802d31
District 13,No,1,750000000.0,0,7.100193977355957,0,1,Aditus,0,high,1,1,2017-11-30,Commerce & Advertising,"Aditus Pte. Ltd., 178 CLEMENCEAU AVENUE #03-01 HAW PAR GLASS TOWER SINGAPORE 239926",0,1,2017-12-20,USD,1.0,1,0,0,1,35.0,0,1,ERC-20,1,1,2017-12-20,0,1,1,1,1,USD,1,21,0,0,0,1,1,2000000.0,0,2.912621259689331,0,Commerce & Advertising,21.0,1.0,0.030039453878998756,0,joint-stock corporation,USD,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,Security,1,0,1,0,0,0,0,0,0.48520711064338684,0,0,1,Singapore,0.0,0.55,0x8810c63470d38639954c6b41aac545848c46484a
No,No,1,1000000000.0,0,9.08957576751709,0,0,adToken,0,high,1,1,2017-06-26,Commerce & Advertising," MetaXchain, Inc., 3110 Main St., Penthouse Suite #400, Los Angeles CA",0,1,2017-06-26,ETH,1.0,1,0,0,1,16.0,0,0,ERC-20,0,1,2017-06-26,1,0,1,0,0,ETH,1,1,0,0,0,1,1,0.0,0,0.0,0,Commerce & Advertising,1.0,1.0,0.01817915216088295,0,joint-stock corporation,ETH,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,Utility-token,0,0,0,0,0,0,0,0,0.0,0,1,0,United States,0.0,0.4,0xd0d6d6c5fe4a677d343cc433536bb717bae167dd
No,No,1,276571964.3536586,1,34.99652099609375,0,0,Aeternity,1,neutral,1,1,2017-04-03,Blockchain Infrastructure,"Aeternity Establishment, Landstr. 123, FL-9495 Triesen ",1,0,2017-06-09,CHF,1.0,0,0,0,0,10.0,0,1,ERC-20,0,1,2017-06-19,0,1,1,0,1,CHF,0,68,0,0,0,1,1,0.0,0,40.90909194946289,0,Blockchain Infrastructure,78.0,0.0,0.1543131172657013,0,foundation,CHF,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,New Blockchain,1,0,0,0,0,1,0,0,0.9037222266197205,1,0,0,Liechtenstein,0.0,0.18,0x5ca9a71b1d01849c0a95490cc00559717fcf0d1d
No,No,1,130271020.035721,0,29.68411636352539,0,1,Agrello,0,neutral,1,1,2017-07-16,Legal,"Valukoja 8, 11415 Tallinn, Estonia",0,1,2017-08-17,BTC,1.0,0,0,0,0,35.0,0,0,ERC-20,0,0,2017-08-17,1,1,1,0,1,BTC,0,33,0,0,0,1,1,0.0,0,23.076923370361328,0,Legal,33.0,0.0,0.49814435839653015,0,joint-stock corporation,BTC,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,Utility-token,0,0,0,0,0,0,0,0,0.8085310459136963,0,0,0,Estonia,0.0,0.21,0x07e3c70653548b04f0a75970c1f81b4cbbfb606f
Vulpem,No,1,100000000.0,0,16.200838088989258,1,1,AidCoin,1,medium,1,1,2018-01-16,Charity,"via Giuseppe Motta 10, 6830 Chiasso - Switzerland",0,1,2018-01-16,ETH,1.0,1,0,4,1,28.0,0,0,ERC-20,1,1,2018-02-01,0,1,1,1,0,ETH,1,1,0,0,0,0,1,4214760.0,1,0.0,0,Charity,17.0,1.0,0.5268449783325195,0,joint-stock corporation,ETH,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,Cryptocurrency,1,0,0,0,0,0,0,1,0.0,0,1,0,Switzerland,0.0,0.55,0x37e8789bb9996cac9156cd5f5fd32599e6b91289
No,No,1,29274566.7244625,0,3.891782760620117,0,0,Aigang,0,neutral,1,1,2017-11-15,Insurance,Superposition Technologies Pte. Ltd. 201721187N 22 North Canal Road #02-00,1,1,2017-12-15,ETH,1.0,1,0,0,1,32.0,0,1,ERC-20,0,1,2017-12-15,1,1,1,0,1,ETH,1,31,0,0,0,1,1,0.0,0,13.043478012084961,0,Insurance,31.0,1.0,0.31990596652030945,0,joint-stock corporation,ETH,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,Utility-token,1,0,0,0,0,1,0,0,0.8839535117149353,0,0,1,Singapore,0.0,0.49,0x1063ce524265d5a3a624f4914acd573dd89ce988
