name_other,cap_unit,cap_includes_presale,token_type,total_number_of_tokens,token_standard,additional_token_emissions,Crowdsale is auction,Has a presale,Development road map available,Whitepaper page count,Product or prototype developed,Product can be tried out,Years since foundation,Issuer has customers for product,Business model available,Smart contract code available,Project code available,Use of proceeds mentioned,Use of proceeds disclosed in detail,Token share team (ex ante),Token share producers/miners (ex ante),Unsold tokens 'burnt' or proportional allocation,Unsold tokens kept by issuer,vc_support_general,vc_support_blockchain_specialist,Investors have governance rights,Experienced team,Team member with business background,advisor_quality,legal_structure,registration_country,address,Independent custodian for ICO funds,portfolio_converted_into_fiat,Funding milestones,Qualified investors only,Simple agreement for future tokens (SAFT),KYC/AML procedure,US retail investors excluded,Investors from other (non-US) jurisdictions excluded,Legal advisor disclosed,Financial advisor disclosed,air_drop_after_ICO ,industry,ethereum_contract_address,ico_start_date,ico_end_date_actual,Total amount raised (USDm),BTC_ret_ico_period,Fundraiser has maximum ('hard cap'),Fundraiser has minimum ('soft cap'),soft_cap_unit,hard_cap_unit,price_crowdsale,Crowdsale max. discount (%),US_qualified_only,Team business background missing,Team experience missing,Team tokens locked up,issued_on_other_platf,Legal form and jurisdiction known,Postal address known,Registered in offshore financial center,switzerland,is_ethereum,Is cryptographic token,Has VC backing,has_generalist_vc,has_specialist_vc,Unknown or low quality advisors,High quality advisory team,Token supply is fixed,Celebrity endorsement,Is a security,Is a utility token,token_is_cryptocurrency,token_is_new_blockchain,Is currency or general purpose blockchain,Decentralised platform,Legal entity is foundation,Legal entity is corporation,Legal entity is LLC,"Length of crowdsale (calendar days, actual)","Length of crowdsale (calendar days, planned)",presale_transparent,industry.1
0x,USD,1,Utility-token,1000000000.0,ERC-20,0,0,0,0,16.0,1,1,1,0,0,1.0,1,0,0,1.0,0.0,0,1,No,Polychain Capital; Pantera Capital; Blockchain Capital; Kenetic Capital,0,0,0,unknown,joint-stock corporation,Cayman Islands,unknown,0,0,0,0,0,1,0,0,0,0,0,Trading & Exchanges,0xe41d2489571d322189246dafa5ebde1f4699f498,8/15/2017,8/16/2017,26.0,0,1,0,USD,USD,0.0,0.0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,2,5.0,1,Trading & Exchanges
adbank,ETH,1,Utility-token,1000000000.0,ERC-20,0,0,0,1,56.0,1,0,1,0,0,1.0,1,1,0,0.0,0.0,0,1,No,No,0,1,0,high,unknown,Canada,"Collingwood, Ontario, CANADA, L9Y 1A1",0,0,0,0,0,1,1,1,0,0,0,Commerce & Advertising,0x2baac9330cf9ac479d819195794d79ad0c7616e3,12/14/2017,1/6/2018,10.0,0,1,0,ETH,ETH,0.0,17.0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,24,39.0,1,Commerce & Advertising
AdEx,ETH,0,Utility-token,100000000.0,ERC-20,0,0,1,1,33.0,0,0,1,0,1,1.0,0,1,0,0.0,0.0,0,1,No,No,0,0,0,neutral,joint-stock corporation,Estonia,"AdEx Network OÜ, Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 5, 10117 ",0,0,0,0,0,0,0,0,1,0,0,Commerce & Advertising,0x4470bb87d77b963a013db939be332f927f2b992e,6/30/2017,6/30/2017,14.0,0,1,1,ETH,ETH,0.0,23.0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,31.0,1,Commerce & Advertising
Adhive (ADH),USD,0,Utility-token,392000000.0,ERC-20,0,0,1,1,70.0,1,1,1,0,1,0.0,0,0,1,1.0,0.0,1,0,No,No,0,1,1,high,joint-stock corporation,Estonia,"AdHive Platform OÜ, Harju maakond, Tallinn, Lasnamäe linnaosa, Peterburi tee 47, 11415",0,0,0,0,0,1,1,1,0,1,0,Commerce & Advertising,0xe69a353b3152dd7b706ff7dd40fe1d18b7802d31,2/28/2018,2/28/2018,15.0,0,1,1,USD,USD,0.0,24.0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,15.0,1,Commerce & Advertising
Aditus,USD,1,Security,750000000.0,ERC-20,0,0,1,1,35.0,0,0,0,0,1,1.0,0,1,0,1.0,0.0,1,0,No,District 13,1,1,1,high,joint-stock corporation,Singapore,"Aditus Pte. Ltd., 178 CLEMENCEAU AVENUE #03-01 HAW PAR GLASS TOWER SINGAPORE 239926",0,0,0,0,0,1,1,1,1,0,0,Commerce & Advertising,0x8810c63470d38639954c6b41aac545848c46484a,11/30/2017,12/20/2017,7.0,0,1,1,USD,USD,0.0,3.0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,21,21.0,1,Commerce & Advertising
adToken,ETH,1,Utility-token,1000000000.0,ERC-20,0,0,1,1,16.0,0,0,0,0,0,1.0,1,1,0,0.0,0.0,0,1,No,No,1,1,0,high,joint-stock corporation,United States," MetaXchain, Inc., 3110 Main St., Penthouse Suite #400, Los Angeles CA",0,0,0,0,0,0,1,0,0,0,0,Commerce & Advertising,0xd0d6d6c5fe4a677d343cc433536bb717bae167dd,6/26/2017,6/26/2017,9.0,0,1,0,ETH,ETH,0.0,0.0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1.0,0,Commerce & Advertising
Aeternity,CHF,1,New Blockchain,276571964.0,ERC-20,1,0,0,1,10.0,1,1,0,0,0,0.0,1,0,0,0.0,0.0,1,0,No,No,1,1,1,neutral,foundation,Liechtenstein,"Aeternity Establishment, Landstr. 123, FL-9495 Triesen ",0,0,0,0,0,0,0,0,1,0,0,Blockchain Infrastructure,0x5ca9a71b1d01849c0a95490cc00559717fcf0d1d,4/3/2017,6/9/2017,35.0,1,1,0,CHF,CHF,0.0,41.0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,68,78.0,1,Blockchain Infrastructure
Agrello,BTC,0,Utility-token,130271020.0,ERC-20,0,0,1,1,35.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1,0,No,No,0,1,0,neutral,joint-stock corporation,Estonia,"Valukoja 8, 11415 Tallinn, Estonia",0,0,0,0,0,1,0,0,0,0,0,Legal,0x07e3c70653548b04f0a75970c1f81b4cbbfb606f,7/16/2017,8/17/2017,30.0,1,1,0,BTC,BTC,0.0,23.0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,33,33.0,0,Legal
AidCoin,ETH,1,Cryptocurrency,100000000.0,ERC-20,0,0,1,1,28.0,0,0,4,0,0,1.0,0,1,0,1.0,0.0,0,1,No,Vulpem,0,0,1,medium,joint-stock corporation,Switzerland,"via Giuseppe Motta 10, 6830 Chiasso - Switzerland",0,0,0,0,0,1,1,0,0,1,1,Charity,0x37e8789bb9996cac9156cd5f5fd32599e6b91289,1/16/2018,1/16/2018,16.0,0,1,1,ETH,ETH,1.0,0.0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,17.0,1,Charity
Aigang,ETH,1,Utility-token,29274567.0,ERC-20,0,0,1,1,32.0,1,1,0,0,1,1.0,1,1,0,0.0,0.0,1,0,No,No,0,1,1,neutral,joint-stock corporation,Singapore,Superposition Technologies Pte. Ltd. 201721187N 22 North Canal Road #02-00,0,0,0,0,0,0,1,1,1,0,0,Insurance,0x1063ce524265d5a3a624f4914acd573dd89ce988,11/15/2017,12/15/2017,4.0,1,1,0,ETH,ETH,0.0,13.0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,31,31.0,1,Insurance
