cap_unit,cap_includes_presale,token_type,total_number_of_tokens,token_standard,additional_token_emissions,Crowdsale is auction,Has a presale,Development road map available,Whitepaper page count,Product or prototype developed,Product can be tried out,Years since foundation,Issuer has customers for product,Business model available,Smart contract code available,Project code available,Use of proceeds mentioned,Use of proceeds disclosed in detail,Token share team (ex ante),Token share producers/miners (ex ante),Unsold tokens 'burnt' or proportional allocation,Unsold tokens kept by issuer,vc_support_general,vc_support_blockchain_specialist,Investors have governance rights,Experienced team,Team member with business background,advisor_quality,legal_structure,registration_country,Independent custodian for ICO funds,portfolio_converted_into_fiat,Funding milestones,Qualified investors only,Simple agreement for future tokens (SAFT),KYC/AML procedure,US retail investors excluded,Investors from other (non-US) jurisdictions excluded,Legal advisor disclosed,Financial advisor disclosed,air_drop_after_ICO ,industry,Total amount raised (USDm),BTC_ret_ico_period,Fundraiser has maximum ('hard cap'),Fundraiser has minimum ('soft cap'),soft_cap_unit,hard_cap_unit,price_crowdsale,Crowdsale max. discount (%),US_qualified_only,Team business background missing,Team experience missing,Team tokens locked up,issued_on_other_platf,Legal form and jurisdiction known,Postal address known,Registered in offshore financial center,switzerland,is_ethereum,Is cryptographic token,Has VC backing,has_generalist_vc,has_specialist_vc,Unknown or low quality advisors,High quality advisory team,Token supply is fixed,Celebrity endorsement,Is a security,Is a utility token,token_is_cryptocurrency,token_is_new_blockchain,Is currency or general purpose blockchain,Decentralised platform,Legal entity is foundation,Legal entity is corporation,Legal entity is LLC,"Length of crowdsale (calendar days, actual)","Length of crowdsale (calendar days, planned)",presale_transparent,industry.1,length_of_ico
USD,1,Utility-token,1000000000.0,ERC-20,0,0,0,0,16.0,1,1,1,0,0,1.0,1,0,0,1.0,0.0,0,1,No,Polychain Capital; Pantera Capital; Blockchain Capital; Kenetic Capital,0,0,0,unknown,joint-stock corporation,Cayman Islands,0,0,0,0,0,1,0,0,0,0,0,Trading & Exchanges,26.0,0,1,0,USD,USD,0.0,0.0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,2,5.0,1,Trading & Exchanges,1
ETH,1,Utility-token,1000000000.0,ERC-20,0,0,0,1,56.0,1,0,1,0,0,1.0,1,1,0,0.0,0.0,0,1,No,No,0,1,0,high,unknown,Canada,0,0,0,0,0,1,1,1,0,0,0,Commerce & Advertising,10.0,0,1,0,ETH,ETH,0.0,17.0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,24,39.0,1,Commerce & Advertising,23
ETH,0,Utility-token,100000000.0,ERC-20,0,0,1,1,33.0,0,0,1,0,1,1.0,0,1,0,0.0,0.0,0,1,No,No,0,0,0,neutral,joint-stock corporation,Estonia,0,0,0,0,0,0,0,0,1,0,0,Commerce & Advertising,14.0,0,1,1,ETH,ETH,0.0,23.0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,31.0,1,Commerce & Advertising,0
USD,0,Utility-token,392000000.0,ERC-20,0,0,1,1,70.0,1,1,1,0,1,0.0,0,0,1,1.0,0.0,1,0,No,No,0,1,1,high,joint-stock corporation,Estonia,0,0,0,0,0,1,1,1,0,1,0,Commerce & Advertising,15.0,0,1,1,USD,USD,0.0,24.0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,15.0,1,Commerce & Advertising,0
USD,1,Security,750000000.0,ERC-20,0,0,1,1,35.0,0,0,0,0,1,1.0,0,1,0,1.0,0.0,1,0,No,District 13,1,1,1,high,joint-stock corporation,Singapore,0,0,0,0,0,1,1,1,1,0,0,Commerce & Advertising,7.0,0,1,1,USD,USD,0.0,3.0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,21,21.0,1,Commerce & Advertising,20
ETH,1,Utility-token,1000000000.0,ERC-20,0,0,1,1,16.0,0,0,0,0,0,1.0,1,1,0,0.0,0.0,0,1,No,No,1,1,0,high,joint-stock corporation,United States,0,0,0,0,0,0,1,0,0,0,0,Commerce & Advertising,9.0,0,1,0,ETH,ETH,0.0,0.0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1.0,0,Commerce & Advertising,0
CHF,1,New Blockchain,276571964.0,ERC-20,1,0,0,1,10.0,1,1,0,0,0,0.0,1,0,0,0.0,0.0,1,0,No,No,1,1,1,neutral,foundation,Liechtenstein,0,0,0,0,0,0,0,0,1,0,0,Blockchain Infrastructure,35.0,1,1,0,CHF,CHF,0.0,41.0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,68,78.0,1,Blockchain Infrastructure,67
BTC,0,Utility-token,130271020.0,ERC-20,0,0,1,1,35.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1,0,No,No,0,1,0,neutral,joint-stock corporation,Estonia,0,0,0,0,0,1,0,0,0,0,0,Legal,30.0,1,1,0,BTC,BTC,0.0,23.0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,33,33.0,0,Legal,32
ETH,1,Cryptocurrency,100000000.0,ERC-20,0,0,1,1,28.0,0,0,4,0,0,1.0,0,1,0,1.0,0.0,0,1,No,Vulpem,0,0,1,medium,joint-stock corporation,Switzerland,0,0,0,0,0,1,1,0,0,1,1,Charity,16.0,0,1,1,ETH,ETH,1.0,0.0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,17.0,1,Charity,0
ETH,1,Utility-token,29274567.0,ERC-20,0,0,1,1,32.0,1,1,0,0,1,1.0,1,1,0,0.0,0.0,1,0,No,No,0,1,1,neutral,joint-stock corporation,Singapore,0,0,0,0,0,0,1,1,1,0,0,Insurance,4.0,1,1,0,ETH,ETH,0.0,13.0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,31,31.0,1,Insurance,30
